Lesson;Spanish;German;Wordtype;Gender;Number;LA
2 AB;el sujeto;Subjekt;Nomen;M.;SG;
2 AB;el centro;Mitte, Zentrum;Nomen;M.;SG;
2 AB;el piso;Wohnung;Nomen;M.;SG;
2 AB;solo;alleine, nur;Adjektiv;M.;SG;
2 AB;sola;alleine, nur;Adjektiv;F.;SG;
2 AB;cerca;in der Nähe, nah;Adverb;;;
2 AB;la beca;Stipendium;Nomen;F.;SG;
2 AB;el suizo;Schweizer;Nomen;M.;SG;
2 AB;la suiza;Schweizerin;Nomen;F.;SG;
2 AB;después (de);nach;Konjunktion;;;
2 AB;el chat;Chat;Nomen;M.;SG;
2 AB;la dificultad;Schwierigkeit;Nomen;F.;SG;
2 AB;el aprendizaje;(Er)lernen;Nomen;M.;SG;
2 AB;el español;Spanier;Nomen;M.;SG;
2 AB;la española;Spanierin;Nomen;F.;SG;
2 AB;el contacto;Kontakt;Nomen;M.;SG;
2 AB;divertido;lustig;Adjektiv;M.;SG;
2 AB;divertida;lustig;Adjektiv;F.;SG;
2 AB;siempre;immer;Adverb;;;
2 AB;muchas veces;oft;Adverb;;;
2 AB;la pronunciación;Aussprache;Nomen;F.;SG;
3;Mis amigos, mi familia;Meine Freunde, meine Familie;Phrase;;;
3;la chica;Mädchen;Nomen;F.;SG;
3;de la foto;auf dem Foto;Phrase;;;
3;el pelo;Haar(e);Nomen;M.;SG;
3;rizado;gelockt;Adjektiv;M.;SG;
3;rizada;gelockte;Adjektiv;F.;SG;
3;rubio;blond;Adjektiv;M.;SG;
3;rubia;blonde;Adjektiv;F.;SG;
3;oscuro;dunkel;Adjektiv;M.;SG;
3;oscura;dunkle;Adjektiv;F.;SG;
3;el ojo;Auge;Nomen;M.;SG;
3;marrón;braun;Adjektiv;;SG;
3;llevar;tragen, haben;Verb;;;
3;la barba;Bart;Nomen;M.;SG;
3;muy;sehr;Adverb;;;
3;simpático;nett, symphatisch;Adjektiv;M.;SG;
3;simpática;nette, symphatische;Adjektiv;F.;SG;
3;las gafas;Brille;Nomen;F.;PL;
3;serio;ernst;Adjektiv;M.;SG;
3;seria;ernste;Adjektiv;F.;SG;
3 A;¿Cómo?;Wie?;Phrase;;;
3 A;Mi año en Buenos Aires;Mein Jahr in Buenos Aires;Phrase;;;
3 A;el inicio;Beginn;Nomen;M.;SG;
3 A;desde;von…(aus/an);Präposition;;;
3 A;hoy;heute;Adverb;;;
3 A;el campus;Campus;Nomen;M.;SG;
3 A;estos que...;diese hier, die;Phrase;;;
3 A;a la izquierda;links;Adverb;;;
3 A;alto;groß;Adjektiv;M.;SG;
3 A;alta;große;Adjektiv;F.;SG;
3 A;delgado;schlank;Adjektiv;M.;SG;
3 A;delgada;schlanke;Adjektiv;F.;SG;
3 A;tiene 21 años;er/sie ist 21 Jahre alt;Phrase;;;
3 A;el brasileño;Brasilianier;Nomen;M.;SG;
3 A;la brasileña;Brasilianierin;Nomen;F.;SG;
3 A;deportista;sportlich;Adjektiv;;SG;
3 A;el jugador de baloncesto;Basketballspieler;Nomen;M.;SG;
3 A;corto;kurz;Adjektiv;M.;SG;
3 A;corta;kurze;Adjektiv;F.;SG;
3 A;sociable;gesellig;Adjektiv;;SG;
3 A;todos;alle;Pronomen;;PL;
3 A;lo;ihn;Pronomen;M.;SG;
3 A;“peque” (ugs) pequeño;„Kleiner“;Phrase;;;
3 A;pequeño;klein;Adjektiv;M.;SG;
3 A;pequeña;kleine;Adjektiv;F.;SG;
3 A;bajito;klein;Adjektiv;M.;SG;
3 A;bajita;kleine;Adjektiv;F.;SG;
3 A;además;außerdem;Adverb;;;
3 A;verde;grün;Adjektiv;;SG;
3 A;precioso;wunderschön;Adjektiv;M.;SG;
3 A;preciosa;wunderschöne;Adjektiv;F.;SG;
3 A;las gafas de sol;Sonnenbrille;Nomen;F.;PL;
3 A;el bigote;Schnurrbart;Nomen;M.;SG;
3 A;tranquilo;ruhig;Adjektiv;M.;SG;
3 A;a veces;manchmal;Adverb;;;
3 A;amable;freundlich;Adjektiv;;SG;
3 A;les;Ihnen, euch (LA);Pronomen;;PL;LA
3 A;el compañero;Mitbewohner;Nomen;M.;SG;
3 A;la compañera;Mitbewohnerin;Nomen;F.;SG;
3 A;la habitación;Zimmer;Nomen;F.;SG;
3 A;moreno;dunkelhaarig;Adjektiv;M.;SG;
3 A;morena;dunkelhaarige;Adjektiv;F.;SG;
3 A;largo;lang;Adjektiv;M.;SG;
3 A;larga;lange;Adjektiv;F.;SG;
3 A;la persona;Person;Nomen;F.;SG;
3 A;encantador;reizend, bezaubernd;Adjektiv;M.;SG;
3 A;encantadora;reizende, bezaubernde;Adjektiv;F.;SG;
3 A;extrovertido;extrovertiert;Adjektiv;M.;SG;
3 A;extrovertida;extrovertierte;Adjektiv;F.;SG;
3 A;la Educación física;Sport-Lehramt;Nomen;F.;SG;
3 A;el Deporte;Sport (Studiengang);Nomen;M.;SG;
3 A;a su lado;an ihrer/seiner Seite;Phrase;;;
3 A;castaño claro;hellbraun;Adjektiv;;SG;
3 A;inteligente;intelligent;Adjektiv;;SG;
3 A;primero de Medicina;Medizinstudium im 1. Jahr;Phrase;;;
3 A;como;wie;Konjunktion;;;
3 A;¿Quién soy?;Wer bin ich?;Phrase;;;
3 A;en este;in diesem;Adverb;;;
3 A;el blog;Blog;Nomen;M.;SG;
3 A;sobre;über;Präposition;;;
3 A;la experiencia;Erfahrung;Nomen;F.;SG;
3 A;el estudiante de intercambio;Austauschstudent;Nomen;M.;SG;
3 A;la estudiante de intercambio;Austauschstudentin;Nomen;F.;SG;
3 A;la entrada reciente;kürzlich gemachter Eintrag;Phrase;;;
3 A;el día;Tag;Nomen;M.;SG;
3 A;de paseo por…;ein Spaziergang durch…;Phrase;;;
3 A;dejar;hinterlassen;Verb;;;
3 A;de carácter;vom Charakter her;Phrase;;;
3 A;¿De quién hablamos?;Von wem reden wir?;Phrase;;;
3 A;pues;also;Konjunktion;;;
3 A;correcto;richtig, korrekt;Adjektiv;M.;SG;
3 A;correcta;richtige, korrekte;Adjektiv;F.;SG;
3 A;lo siento;es tut mir leid;Phrase;;;
3 A;castaño;kastanienbraun;Adjektiv;;SG;
3 A;gris;grau;Adjektiv;;SG;
3 A;azul;blau;Adjektiv;;SG;
3 A;negro;schwarz;Adjektiv;M.;SG;
3 A;negra;schwarze;Adjektiv;F.;SG;
3 B;esta es mi familia;dies ist meine Familie;Phrase;;;
3 B;la familia;Familie;Nomen;F.;SG;
3 B;Cuéntame;spanische Fernsehserie;Nomen;;;
3 B;os voy a presentar;ich werde euch vorstellen;Phrase;;;
3 B;mis;meine;Pronomen;;;
3 B;los padres;Eltern;Nomen;M.;PL;
3 B;el señor;Mann, Herr;Nomen;M.;SG;
3 B;el abuelo;Opa;Nomen;M.;SG;
3 B;la abuela;Oma;Nomen;F.;SG;
3 B;la madre;Mutter;Nomen;F.;SG;
3 B;viudo;verwitwet;Adjektiv;M.;SG;
3 B;viuda;verwitwet;Adjektiv;F.;SG;
3 B;por eso;deswegen, deshalb;Konjunktion;;;
3 B;vive con nosotros;er/sie wohnt bei uns;Phrase;;;
3 B;los hermanos;Geschwister;Nomen;M.;PL;
3 B;el padre;Vater;Nomen;M.;SG;
3 B;sí;schon, doch;Konjunktion;;;
3 B;calvo;kahlköpfig;Adjektiv;M.;SG;
3 B;calva;kahlköpfig;Adjektiv;F.;SG;
3 B;al lado de;neben;Konjunktion;;;
3 B;el tío;Onkel;Nomen;M.;SG;
3 B;la tía;Tante;Nomen;F.;SG;
3 B;la hija;Tochter;Nomen;F.;SG;
3 B;el primo;Cousin;Nomen;M.;SG;
3 B;la prima;Cousine;Nomen;F.;SG;
3 B;el hermano;Bruder;Nomen;M.;SG;
3 B;la hermana;Schwester;Nomen;F.;SG;
3 B;mayor;ältester;Adjektiv;;;
3 B;separado;getrennt;Adjektiv;M.;SG;
3 B;separada;getrennt;Adjektiv;F.;SG;
3 B;el sobrino;Neffe;Nomen;M.;SG;
3 B;la sobrina;Nichte;Nomen;F.;SG;
3 B;por último;zuletzt, schließlich;Konjunktion;;;
3 B;soltero;ledig;Adjektiv;M.;SG;
3 B;soltera;ledig;Adjektiv;F.;SG;
3 B;apetecer;Lust haben auf;Verb;;;
3 B;estos;diese hier, die;Pronomen;M.;PL;
3 B;estas;diese hier, die;Pronomen;F.;PL;
3 B;este;dieser hier, der;Pronomen;M.;SG;
3 B;esta;dieser hier, der;Pronomen;F.;SG;
3 B;¿Quién?;Wer?;Pronomen;;;
3 B;¿Cuántos?;Wie viele?;Pronomen;M.;PL;
3 B;¿Cuántas?;Wie viele?;Pronomen;F.;PL;
3 B;el año;Jahr;Nomen;M.;SG;
3 B;casado;verheiratet;Adjektiv;M.;SG;
3 B;casada;verheiratet;Adjektiv;F.;SG;
3 B;mi árbol genealógico;mein Stammbaum;Phrase;;;
3 B;¿Cuántos años tienen?;Wie alt sind sie?;Phrase;;;
3 B;unos;ungefähr;Pronomen;M.;PL;
3 B;unas;ungefähr;Pronomen;F.;PL;
3 C;estudios y profesiones;Studiengänge und Berufe;Nomen;;;
3 C;relacionado;zusammenhängen mit;Adjektiv;M.;SG;
3 C;relacionada;zusammenhängen mit;Adjektiv;F.;SG;
3 C;entre;hier: unter;Präposition;;;
3 C;favorito;Lieblingsel;Adjektiv;M.;SG;
3 C;favorita;Lieblingsel;Adjektiv;F.;SG;
3 C;área;Gebiet;Nomen;F.;SG;
3 C;las Ciencias de la Salud;Gesundheitswissenschaften;Nomen;F.;PL;
3 C;la ciencia;Wissenschaft;Nomen;F.;SG;
3 C;un 25%;25 Prozent;Nomen;;;
3 C;concreto;konkret;Adjektiv;M.;SG;
3 C;el enfermero;Krankenpfleger;Nomen;M.;SG;
3 C;la enfermera;Krankenschwester;Nomen;F.;SG;
3 C;el psicólogo;Psychologe;Nomen;M.;SG;
3 C;la psicóloga;Psychologin;Nomen;F.;SG;
3 C;valorado;geschätzt;Adjektiv;M.;SG;
3 C;valorada;geschätzt;Adjektiv;F.;SG;
3 C;seguir;folgen;Verb;;;
3 C;(la) Ingeniería;Ingenieurwissenschaft;Nomen;F.;SG;
3 C;por detrás (da);hinter;Präposition;;;
3 C;escoger;(aus)wählen;Verb;;;
3 C;el biólogo;Biologe;Nomen;M.;SG;
3 C;la bióloga;Biologin;Nomen;F.;SG;
3 C;el químico;Chemiker;Nomen;M.;SG;
3 C;la química;Chemikerin;Nomen;F.;SG;
3 C;querer;wollen;Verb;;;
3 C;el maestro;Lehrer;Nomen;M.;SG;
3 C;la maestra;Lehrerin;Nomen;F.;SG;
3 C;el profesor;Lehrer;Nomen;M.;SG;
3 C;la profesora;Lehrerin;Nomen;F.;SG;
3 C;el instituto;Gymnasium;Nomen;M.;SG;
3 C;(el) Magisterio;Lehramt;Nomen;M.;SG;
3 C;la Educación;Bildung, Erziehung, Pädagogik;Nomen;F.;SG;
3 C;la opción;Auswahlmöglichkeit;Nomen;F.;SG;
3 C;trabajar;arbeiten;Verb;;;
3 C;terminar;beenden, enden;Verb;;;
3 C;elegir (e -> i);(aus)wählen;Verb;;;
3 C;privado;privat;Adjektiv;M.;SG;
3 C;privada;privat;Adjektiv;F.;SG;
3 C;afirmar;bestätigen, behaupten;Verb;;;
3 C;montar;errichten, eröffnen;Verb;;;
3 C;mientras que;wohingegen, während;Konjunktion;;;
3 C;el funcionario;Beamter;Nomen;M.;SG;
3 C;la funcionaria;Beamtin;Nomen;F.;SG;
3 C;el informático;Informatiker;Nomen;M.;SG;
3 C;la informática;Informatikerin;Nomen;F.;SG;
3 C;el músico;Musiker;Nomen;M.;SG;
3 C;la música;Musikerin;Nomen;F.;SG;
3 C;el mecánico;Mechaniker;Nomen;M.;SG;
3 C;la mecánica;Mechanikerin;Nomen;F.;SG;
3 C;el coche;Auto;Nomen;M.;SG;
3 C;el actor;Schauspieler;Nomen;M.;SG;
3 C;la actriz;Schauspielerin;Nomen;F.;SG;
3 C;el pintor;Maler;Nomen;M.;SG;
3 C;la pintora;Malerin;Nomen;F.;SG;
3 C;el taxista;Taxifahrer;Nomen;M.;SG;
3 C;la taxista;Taxifahrerin;Nomen;F.;SG;
3 C;el dentista;Zahnarzt;Nomen;M.;SG;
3 C;la dentista;Zahnärztin;Nomen;F.;SG;
3 C;el empleado;Angestellter;Nomen;M.;SG;
3 C;la empleada;Angestellte;Nomen;F.;SG;
3 C;el banco;Bank (Geldinstitut);Nomen;M.;SG;
3 C;la tienda;Geschäft;Nomen;F.;SG;
3 C;el cocinero;Koch;Nomen;M.;SG;
3 C;la cocinera;Köchin;Nomen;F.;SG;
3 C;el policía;Polizist;Nomen;M.;SG;
3 C;la policía;Polizistin;Nomen;F.;SG;
3 C;el camarero;Kellner;Nomen;M.;SG;
3 C;la camarera;Kellnerin;Nomen;F.;SG;
3 C;el periodista;Journalist;Nomen;M.;SG;
3 C;la periodista;Journalistin;Nomen;F.;SG;
3 C;desde hace;seit;Präposition;;;
3 C;el economista;Volkswirtschaftler;Nomen;M.;SG;
3 C;la economista;Volkswirtschaftlerin;Nomen;F.;SG;
3 C;me gusta;mir gefällt;Phrase;;;
3 C;en paro;arbeitslos;Adjektiv;;;
3 C;el minijob;Minijob;Nomen;M.;SG;
3 C;cuidar;pflegen, betreuen;Verb;;;
3 C;la persona mayor;Senior/in;Nomen;F.;SG;
3 C;ayudar;helfen;Verb;;;
3 C;el joven;Jugendlicher;Nomen;M.;SG;
3 C;la joven;Jugendliche;Nomen;F.;SG;
3 C;tengo 28 años;ich bin 28 Jahre alt;Phrase;;;
3 C;el fin de semana;Wochenende;Nomen;M.;SG;
3 C;ganar dinero;Geld verdienen;Phrase;;;
3 C;el dinero;Geld;Nomen;M.;SG;
3 C;encantar;gut gefallen, begeistern;Verb;;;
3 C;trabajar como;arbeiten als;Phrase;;;
3 C;el hospital;Krankenhaus;Nomen;M.;SG;
3 C;¿A qué te dedicas?;Was machst du beruflich?;Phrase;;;
3 C;dedicar(se);(sich) widmen;Verb;;;
3 C;Trabajo de enfermera.;Ich arbeite als Krankenschwester.;Phrase;;;
3 C;el bar de copas;Bar;Nomen;M.;SG;
3 C;la copa;Weinglas, Drink;Nomen;F.;SG;
3 C;el hotel;Hotel;Nomen;M.;SG;
3 C;la oficina;Büro;Nomen;F.;SG;
3 C;el supermercado;Supermarkt;Nomen;M.;SG;
3 C;la escuela;Schule;Nomen;F.;SG;
3 C;durante;während;Präposition;;;
3 C;el guía turístico;Touristenführer;Nomen;M.;SG;
3 C;la guía turística;Touristenführerin;Nomen;F.;SG;
3 C;tampoco;auch nicht;Adverb;;;
3 Proyecto;¿De dónde?;Woher?;Phrase;;;
3 Proyecto;la edad;Alter;Nomen;F.;SG;
3 Proyecto;el carácter;Charakter;Nomen;M.;SG;
3 Proyecto;la descripción;Beschreibung;Nomen;F.;SG;
3 Proyecto;físico;körperlich;Adjektiv;M.;SG;
3 Proyecto;física;körperlich;Adjektiv;F.;SG;
3 Mi gramática;el futbolista;Fußballspieler;Nomen;M.;SG;
3 Mi gramática;la futbolista;Fußballspielerin;Nomen;F.;SG;
3 Mi gramática;joven;jung;Adjektiv;;SG;
3 Mi gramática;el coeficiente intelectual;Intelligenzquotient;Nomen;M.;SG;
3 Mi gramática;por;aufgrund von, wegen;Präposition;;;
3 Mi gramática;el cantante;Sänger;Nomen;M.;SG;
3 Mi gramática;la cantante;Sängerin;Nomen;F.;SG;
3 Mi gramática;famoso;berühmt, großartig;Adjektiv;M.;SG;
3 Mi gramática;famosa;berühmt, großartig;Adjektiv;F.;SG;
3 Mi gramática;alegre;fröhlich, lustig;Adjektiv;;SG;
3 Mi gramática;su;sein/e;Pronomen;;;
3 Mi gramática;mira;schau;Verb;;;
3 Mi gramática;estos;diese hier;Pronomen;;;
3 Mi gramática;la señora;Frau;Nomen;F.;SG;
3 Mi gramática;Muchas gracias.;Vielen Dank.;Phrase;;;
3 Mi léxico;describir;beschreiben;Verb;;;
3 Mi léxico;el marido;Ehemann;Nomen;M.;SG;
3 Mi léxico;optimista;optimistisch;Adjektiv;;SG;
3 Mi léxico;antipático;unsymphatisch;Adjektiv;M.;SG;
3 Mi léxico;antipática;unsymphatisch;Adjektiv;F.;SG;
3 Mi léxico;las lentillas;Kontaktlinsen;Nomen;F.;PL;
3 Cultura;para;für;Präposition;;;
3 Cultura;la salud;Gesundheit;Nomen;F.;SG;
3 Cultura;la pareja;Partner/in;Nomen;F.;SG;
3 Cultura;el bienestar económico;wirtschaftlicher Wohlstand;Nomen;M.;SG;
3 Cultura;dar (doy);geben;Verb;;;
3 Cultura;la valoración;Bewertung;Nomen;F.;SG;
3 Cultura;media;Durchschnitts-, Mittel-;Adjektiv;;;
3 Cultura;algunos;einige;Adjektiv;M.;;
3 Cultura;algunas;einige;Adjektiv;F.;;
3 Cultura;as;einige;Pronomen;;;
3 Cultura;el aspecto;Aspekt;Nomen;M.;SG;
3 Cultura;la vida;Leben;Nomen;F.;SG;
3 Cultura;¿Podría…?;Könnten Sie …?;Phrase;;;
3 Cultura;la importancia;Bedeutung;Nomen;F.;SG;
3 Cultura;siguiente;folgend;Adjektiv;;SG;
3 Cultura;la escala;Skala;Nomen;F.;SG;
3 Cultura;nada;nichts, gar nicht;Pronomen;;;
3 Cultura;colocar;(ein)ordnen;Verb;;;
3 Cultura;total;insgesamt;Adjektiv;;;
3 Cultura;máximo;maximal, höchst;Adjektiv;M.;SG;
3 Cultura;máxima;maximal, höchst;Adjektiv;F.;SG;
3 Cultura;valorar;schätzen;Verb;;;
3 AB;feo;hässlich;Adjektiv;M.;SG;
3 AB;fea;hässlich;Adjektiv;F.;SG;
3 AB;el asunto;Betreff;Nomen;M.;SG;
3 AB;fantástico;fantastisch;Adjektiv;M.;SG;
3 AB;fantástica;fantastisch;Adjektiv;F.;SG;
3 AB;el aspecto físico;Aussehen;Nomen;M.;SG;
3 AB;el sueco;Schwede;Nomen;M.;SG;
3 AB;la sueca;Schwedin;Nomen;F.;SG;
3 AB;típico;typisch;Adjektiv;M.;SG;
3 AB;típica;typisch;Adjektiv;F.;SG;
3 AB;(la) Ingenieria Industrial;Bauingenieurwesen;Nomen;F.;SG;
3 AB;pronto;bald;AdVerb;;;
3 AB;el abrazo;Umarmung (auch: Abschiedsformel in einem persönlichen Brief);Nomen;M.;SG;
3 AB;negativo;negativ;Adjektiv;M.;SG;
3 AB;negativa;negativ;Adjektiv;F.;SG;
3 AB;positivo;positiv;Adjektiv;M.;SG;
3 AB;positiva;positiv;Adjektiv;F.;SG;
3 AB;nervioso;nervös, unruhig;Adjektiv;M.;SG;
3 AB;nerviosa;nervöse, unruhige;Adjektiv;F.;SG;
3 AB;pesimista;pessimistisch;Adjektiv;;SG;
3 AB;introvertido;introvertiert;Adjektiv;M.;SG;
3 AB;introvertida;introvertiert;Adjektiv;F.;SG;
3 AB;trabajador;fleißig;Adjektiv;M.;SG;
3 AB;trabajadora;fleißig;Adjektiv;F.;SG;
3 AB;todo el mundo;die ganze Welt, alle;Phrase;;;
3 AB;todo;jeder, ganz;Pronomen;M.;SG;
3 AB;toda;jeder, ganz;Pronomen;F.;SG;
3 AB;poco;wenig;Adjektiv;M.;SG;
3 AB;poca;wenig;Adjektiv;F.;SG;
3 AB;diferente;anders, verschieden;Adjektiv;;SG;
3 AB;(la) Economía;Wirtschaft(swissenschaft);Nomen;F.;SG;
3 AB;la moto;Motorrad;Nomen;F.;SG;
3 AB;italiano;italienisch;Adjektiv;M.;SG;
3 AB;italiana;italienisch;Adjektiv;F.;SG;
3 AB;las matemáticas;Mathematik;Nomen;F.;PL;
3 AB;la cuenta;Rechnung;Nomen;F.;SG;
3 AB;falso;falsch;Adjektiv;M.;SG;
3 AB;falsa;falsch;Adjektiv;F.;SG;
3 AB;el árbol de familia;Familienstammbaum;Nomen;M.;SG;
3 AB;el cuñado;Schwager;Nomen;M.;SG;
3 AB;la cuñada;Schwägerin;Nomen;F.;SG;
3 AB;el nieto;Enkel;Nomen;M.;SG;
3 AB;la nieta;Enkelin;Nomen;F.;SG;
3 AB;la consulta;Praxis;Nomen;F.;SG;
3 AB;el juzgado;Gericht;Nomen;M.;SG;
3 AB;el laboratorio;Labor;Nomen;M.;SG;
3 AB;el semestre;Semester;Nomen;M.;SG;
3 AB;¡Mira!;Schau (mal)!;Phrase;;;
3 AB;la biblioteca;Bibliothek;Nomen;F.;SG;
3 AB;municipal;Stadt-, städtisch;Adjektiv;;;
3 AB;único;einzig, Einzel;Adjektiv;M.;SG;
3 AB;única;einzig, Einzel;Adjektiv;F.;SG;
3 AB;el venezolano;Venezolaner;Nomen;M.;SG;
3 AB;la venezolana;Venezolanerin;Nomen;F.;SG;
3 AB;el traductor;Übersetzer;Nomen;M.;SG;
3 AB;la traductora;Übersetzerin;Nomen;F.;SG;
3 AB;el ingeniero;Ingenieur;Nomen;M.;SG;
3 AB;la ingeniera;Ingenieurin;Nomen;F.;SG;
4;limpiar;putzen, säubern;Verb;;;
4;el yoga;Yoga;Nomen;M.;SG;
4;la excursión;Ausflug;Nomen;F.;SG;
4;nadar;schwimmen;Verb;;;
4;la piscina;Schwimmbad;Nomen;F.;SG;
4;visitar;besichtigen, besuchen;Verb;;;
4;el museo;Museum;Nomen;M.;SG;
4;quedarse;bleiben;Verb;;;
4;todo el día;den ganzen Tag;Phrase;;;
4;el tiempo;Zeit;Nomen;M.;SG;
4 A;diario;täglich;Adjektiv;M.;SG;
4 A;diaria;täglich;Adjektiv;F.;SG;
4 A;normal;normal;Adjektiv;;;
4 A;el estudiante de postgrado;Masterstudent;Nomen;M.;SG;
4 A;la estudiante de postgrado;Masterstudentin;Nomen;F.;SG;
4 A;distinto;unterschiedlich, verschieden;Adjektiv;M.;SG;
4 A;distinta;unterschiedlich, verschieden;Adjektiv;F.;SG;
4 A;menos;weniger;Adverb;;;
4 A;relajado;entspannt;Adjektiv;M.;SG;
4 A;relajada;entspannt;Adjektiv;F.;SG;
4 A;lindo;schön;Adjektiv;M.;SG;LA
4 A;linda;schön;Adjektiv;F.;SG;LA
4 A;el mexicano;Mexikaner;Nomen;M.;SG;
4 A;la mexicana;Mexikanerin;Nomen;F.;SG;
4 A;transcurrir;vergehen;Verb;;;
4 A;entre semana;unter der Woche;Phrase;;;
4 A;por la mañana;morgens;Phrase;;;
4 A;la jornada;Tag, Arbeitstag;Nomen;F.;SG;
4 A;empezar;beginnen;Verb;;;
4 A;pronto;früh;Adverb;;;
4 A;levantarse;aufstehen;Verb;;;
4 A;a las 6 de la mañana;um 6 Uhr morgens;Phrase;;;
4 A;ducharse;duschen;Verb;;;
4 A;vestirse;anziehen;Verb;;;
4 A;rápidamente;schnell;Adverb;;;
4 A;rápido;schnell;Adjektiv;M.;SG;
4 A;rápida;schnell;Adjektiv;F.;SG;
4 A;salir;hinausgehen, ausgehen;Verb;;;
4 A;a las 6 y media;um halb 7;Phrase;;;
4 A;medio;halb;Adjektiv;M.;SG;
4 A;media;halb;Adjektiv;F.;SG;
4 A;a pie;zu Fuß;Phrase;;;
4 A;el horario;Zeiten;Nomen;M.;SG;
4 A;la comida;Essen, Mahlzeit;Nomen;F.;SG;
4 A;antes de;bevor, vor;Phrase;;;
4 A;tomar;nehmen;Verb;;;
4 A;tomar;zu sich nehmen;Verb;;;
4 A;desayunar;frühstücken;Verb;;;
4 A;la cafetería;Cafeteria;Nomen;F.;SG;
4 A;el desayuno;Frühstück;Nomen;M.;SG;
4 A;consistir (en);bestehen aus;Verb;;;
4 A;el jugo de fruta;Fruchtsaft;Nomen;M.;SG;LA
4 A;el jugo;Saft;Nomen;M.;SG;LA
4 A;la fruta;Frucht;Nomen;F.;SG;
4 A;comer;essen;Verb;;;
4 A;los churros;frittiertes Spritzgebäck;Nomen;M.;PL;
4 A;el pan;Brot;Nomen;M.;SG;
4 A;dulce;süß;Adjektiv;M./F.;SG;
4 A;la tortilla de maíz;Maistortilla;Nomen;F.;SG;
4 A;el queso;Käse;Nomen;M.;SG;
4 A;a eso de;so ungefähr um;Phrase;;;
4 A;almorzar (o -> ue);zu Mittag essen;Verb;;;
4 A;el comedor universitario;Mensa;Nomen;M.;SG;
4 A;volver (o -> ue);zurückkehren;Verb;;;
4 A;gustar;gefallen;Verb;;;
4 A;por la tarde;nachmittags, am Nachmittag;Phrase;;;
4 A;mucho;sehr;Adverb;;;
4 A;allí;dort;Adverb;;;
4 A;hasta;bis;Konjunktion;;;
4 A;después;danach;Adverb;;;
4 A;por la noche;abends, nachts;Phrase;;;
4 A;cenar;zu Abend essen;Verb;;;
4 A;conectarse;sich verbinden;Verb;;;
4 A;casi;fast, beinahe;Adverb;;;
4 A;acostarse;ins Bett gehen;Verb;;;
4 A;llevar una vida;ein Leben führen;Phrase;;;
4 A;activo;aktiv;Adjektiv;M.;SG;
4 A;activa;aktiv;Adjektiv;F.;SG;
4 A;eso sí;das schon;Phrase;;;
4 A;dormir;schlafen;Verb;;;
4 A;a/al mediodía;mittags;Phrase;;;
4 A;bueno;gut;Adjektiv;M.;SG;
4 A;buena;gut;Adjektiv;F.;SG;
4 A;primero;als erstes;Adverb;;;
4 A;luego;dann, später;Adverb;;;
4 A;al final;am Ende;Phrase;;;
4 A;el estudio;Lern-;Nomen;M.;SG;
4 B;mi;mein;Pronomen;;;
4 B;¿A qué hora?;Um wie viel Uhr?;Phrase;;;
4 B;la hora;Uhrzeit;Nomen;F.;SG;
4 B;perdona;entschuldige;Phrase;;;
4 B;¿Qué hora es?;Wie viel Uhr ist es?;Phrase;;;
4 B;¿Tiene hora?;Wissen Sie, wie viel Uhr es ist?;Phrase;;;
4 B;abrir;öffnen;Verb;;;
4 B;saber (sé);wissen;Verb;;;
4 B;cerrar;schließen;Verb;;;
4 B;Es la una.;Es ist ein Uhr.;Phrase;;;
4 B;Son las dos (en punto).;Es ist (genau) zwei Uhr.;Phrase;;;
4 B;interesante;interessant;Adjektiv;;;
4 B;estresante;stressig;Adjektiv;;;
4 B;monótono;monoton;Adjektiv;M.;;
4 B;monótona;monoton;Adjektiv;F.;;
4 B;los deberes;Hausaufgaben;Nomen;PL.;;
4 B;las tareas del hogar;Hausarbeit;Nomen;F.;PL;
4 B;¿Hasta qué hora?;Bis wie viel Uhr?;Phrase;;;
4 B;la madrugada;Tagesanbruch, Morgendämmerung;Nomen;F.;SG;
4 B;el mediodía;Mittag;Nomen;M.;SG;
4 B;la medianoche;Mitternacht;Nomen;F.;SG;
4 B;¿Cuántas veces?;Wie oft?;Phrase;;;
4 B;el lunes;Montag;Nomen;M.;SG;
4 B;el martes;Dienstag;Nomen;M.;SG;
4 B;el miércoles;Mittwoch;Nomen;M.;SG;
4 B;el jueves;Donnerstag;Nomen;M.;SG;
4 B;el viernes;Freitag;Nomen;M.;SG;
4 B;el sábado;Samstag;Nomen;M.;SG;
4 B;el domingo;Sonntag;Nomen;M.;SG;
4 B;el gimnasio;Fitnessstudio;Nomen;M.;SG;
4 B;la exposición;Ausstellung;Nomen;F.;SG;
4 B;la tarde;Nachmittag;Nomen;F.;SG;
4 B;el grupo;Gruppe;Nomen;M.;SG;
4 B;el tenis;Tennis;Nomen;M.;SG;
4 B;la vez;Mal;Nomen;F.;SG;
4 B;a menudo;oft;Phrase;;;
4 B;el mes;Monat;Nomen;M.;SG;
4 B;todos los días;jeden Tag;Phrase;;;
4 B;cada;alle, jeder;Pronomen;;;
4 B;nunca;nie;Adverb;;;
4 B;¿Con qué frecuencia?;Wie oft?;Phrase;;;
4 B;la frecuencia;Häufigkeit;Nomen;F.;SG;
4 B;¡Atención!;Achtung!;Interjektion;;;
4 C;preferir;vorziehen, lieber mögen;Verb;;;
4 C;llevarse;mitbringen;Verb;;;
4 C;el clima;Klima;Nomen;M.;SG;
4 C;influir;beeinflussen;Verb;;;
